region,region_name,variable,unit,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
CAN,Canada,Primary Energy,EJ / yr,4.168670211636364,4.400851256636364,4.623239460909091,4.965210786454545,5.2223503590909095,5.613447038272727,5.7961211249090905,6.192707396545455,6.748374427190657,6.890253767505994,6.822464864168783,7.142407101738204,7.594641140967532,7.666771722671318,7.880561376645394,8.018356329802328,7.857355580158699,7.621813499683784,7.519945319428982,7.977276125420685,8.18798148754518,8.245620840922632,8.543953061428867,9.038773476702447,9.265361705145725,8.795730233545914,8.766369968211283,8.998260360039268,9.23948022621567,9.644914165058458,9.884120987917525,10.067440968841602,10.163611988177475,10.100702954390455,10.396890019864301,10.660531701954671,10.596691773517513,10.936621674900229,11.116194619343194,11.346193529960948,11.317045258494588,10.949443526781756,11.769116344972067,11.563958490026387,11.078479702431888,11.347415855268707,11.715757366559533,11.713996612437949,12.050555786929301,12.147078944660127,12.122438200800914,11.931746946311508,12.093814290429139,12.362536011812947,12.32698468441982,11.48250550642243,11.596372555461556,11.86884368417511,11.805623535099224,11.868848768469531
MEX,Mexico,Primary Energy,EJ / yr,0.9935295126139401,1.0468163839562799,1.061961468288333,1.1520877534507898,1.267890934565208,1.3488020709047372,1.426722810651433,1.581067557166109,1.712106131390284,1.9018789993175411,2.0504943591414464,2.1753405356239695,2.287385060725485,2.6102033104196916,2.894752874489895,3.167224510093615,3.4589124342253577,3.631445575417879,3.6063466446256625,3.7614051908583006,3.925864267666227,3.8998975542806664,4.0708880731317905,4.089295970329274,4.297564411773545,4.71033176603772,4.871081563311164,4.9459064903803265,4.954162551683623,5.27675520155642,5.138705776909923,5.248865775803172,5.407819198956496,5.64561221532409,5.671331622274785,6.030632772397924,6.000587321192754,6.171573145489484,6.307261584817836,6.646958498568948,7.287571020345003,7.361553909383661,7.470922850145701,7.692479072041515,7.63598193632501,7.587517888919836,7.94378042618117,8.013436621335009,8.051914739397544,7.923494101703874,7.882032521992478,8.129527256593082,8.312084887951091,8.107064542339096,8.003263746925782,7.237533316068044,7.615490493872309,7.968529895787757,8.02649317878148,8.044830164058279
USA,US,Primary Energy,EJ / yr,50.581346700032626,53.4830572108293,55.208237292867565,58.59475364179212,61.51462892698751,63.77641166926705,65.0359815206188,68.35673033000445,71.36710704579623,69.40796332872996,67.59741586915855,71.5404262858814,73.90212600276058,75.1464090647735,75.96871705051089,73.02902497590043,70.96060205141904,67.64796092831583,67.28163198875174,70.97394698871034,71.15784585933028,71.81144803722387,74.60626853988248,78.28958737897031,79.97957301904161,80.12781326672116,80.09374659192687,81.55463255906658,83.10770889337248,84.77210400158847,86.24398434442003,88.97282506202245,89.5693371557554,90.41770246698445,92.1129731568626,94.50727717864956,92.74972309081585,93.85390944772301,94.13143402934858,96.12519535151608,96.18300959070055,95.30373489938799,96.9467385280897,94.45684244204803,89.59907748522772,92.67334898518962,91.369094103474,89.07254030722184,91.46712278492049,92.43221544999564,91.55894207754167,91.15183822639406,91.07493399644548,94.41112206669733,93.57274292771147,86.21375626685416,90.78554881555335,92.25154821355893,91.19776322340292,91.83211178128627
ARG,Argentina,Primary Energy,EJ / yr,1.1740683194944477,1.2122865768056732,1.2475638201363763,1.2884886443816266,1.333015035720825,1.2615484634386682,1.3381428014574395,1.3553818730248348,1.406095669527119,1.4496955653065933,1.4143678966951814,1.4881889217371087,1.5497210153722745,1.547550614492348,1.6394962236767827,1.5987104080114314,1.5503759456659985,1.5705689908263945,1.6396372895142914,1.635729016197496,1.6083600100748014,1.69067854615561,1.7676258429692024,1.8454274467828142,1.7901358426165417,1.7292352988476,1.774356304271735,1.8870362994928516,1.921661448789824,2.0136533265703305,2.088457661553172,2.219438496981542,2.2169181272683036,2.3176240127184013,2.3937633892631083,2.335584696786279,2.224053341972304,2.12618144547532,2.3116074621123603,2.504326971740222,2.643364823131856,2.7645217508535107,2.9305091020852623,2.969262039186749,2.8537290553041252,2.9714814922253994,3.0769417863197415,3.2219675813163593,3.4359299725235504,3.379151145475113,3.445617136882324,3.4506563537043755,3.4060395297988335,3.360880662139263,3.1506081885792865,2.9258574955145553,3.228706337990025,3.3865802318490563,3.348011089567609,3.273450833626852
BRA,Brazil,Primary Energy,EJ / yr,0.8061733715107078,0.8790062463942477,0.9088435425761061,1.0573200211724778,1.1586027487244248,1.3973160136014644,1.5168221480015165,1.7400129838628011,2.0679028902381966,2.281248958318535,2.3794025298922845,2.575781435160341,2.725675595832283,3.0092243194360098,3.2156593552777473,3.259710072062458,3.112518587086524,3.254418910551855,3.23096902085247,3.422451161521076,3.6712111824976033,3.9062564198100636,4.0244698999931625,4.158185820292829,4.250743168745798,4.169712898169129,4.310910102401093,4.372433474483942,4.5702514689543845,4.791855246425259,5.09659598791547,5.435855938846175,5.769599805489149,6.006364769576682,6.1055272187943155,6.366358693716263,6.431226403678804,6.49427680908901,6.504770768564815,6.842452185971143,6.986318303881409,7.197043246698117,7.6563496566952765,8.160310099703576,8.003549873423005,8.888233583847885,9.212375640241897,9.635929662104175,10.133115948106878,10.49578595728534,10.397483512484591,9.919283165259086,10.038971930577903,9.934787019681059,10.126122300882944,9.594706418380731,10.25734011570297,10.312073438627307,10.575516264048613,10.714927403717178
CHL,Chile,Primary Energy,EJ / yr,0.2329016224726891,0.2502664264732294,0.25510064625634943,0.25877603967529106,0.2776373256359221,0.2927344565336014,0.315674922,0.31580027018181817,0.30522346363636366,0.3004758871818182,0.26754689863636366,0.2780561676363636,0.29061652027272733,0.30203365727272724,0.3203482155454545,0.32960161654545456,0.329815602,0.29939180945454547,0.3085029009090909,0.3202958352727273,0.3175359707272727,0.3274871884545455,0.3408997026363637,0.39271665472727274,0.4576963631818182,0.4968950991454546,0.5367262505090911,0.5801453576545457,0.6165023367727044,0.6550261655636365,0.7052250726181817,0.7651526767279999,0.8773379031345455,0.9003557695454545,0.9587175304181818,0.9713783561999999,0.9757714478,0.9936274169090911,1.0053126688909093,1.0962135541469933,1.1137187763924872,1.1425303122133417,1.1808791321089036,1.1690372910808455,1.1107526214454044,1.1670547674568574,1.2540584286441616,1.3174019010831273,1.3584328233043528,1.3179217103527079,1.3228395668851607,1.4090551814080534,1.4461290706221903,1.496305489075099,1.5150327853246235,1.3909928488533796,1.5105496548787245,1.5638429439608734,1.5063283306430606,1.5448164250103689
COL,Colombia,Primary Energy,EJ / yr,0.32665644198026444,0.36799969724186143,0.3861767473026827,0.3985691708486193,0.4001057320731845,0.4377160131375226,0.42999217374074683,0.49776957909426295,0.47535421201697353,0.5308356714766057,0.4916097318530488,0.5119629616532037,0.5298065160033602,0.549107213598441,0.5664427639309049,0.5847299776117166,0.5957806987746777,0.6090452530278043,0.6462399376532386,0.6436587272096266,0.6599578027948935,0.6774189402224269,0.7406362490171053,0.7310292468764289,0.7633028077444972,0.7150597044291227,0.7375164928247878,0.8094528156504731,0.8553912822814028,0.9128874947298836,0.9397606332846177,0.9628598846919982,1.009777904896651,1.0303040936361298,0.9246555168535611,0.9136599241983879,0.9197345864953859,0.9060071606686904,0.9145134397112257,0.9619862844808207,0.9396914760572631,1.1060994237049897,1.1204652189339148,1.1690856860195826,1.1891042540220769,1.2684235326658144,1.2900011484525635,1.399371402472976,1.4694402558147794,1.5613831389474226,1.5420445855954994,1.6918401461112573,1.6547453201156654,1.719409162713552,1.7425242219449293,1.5699798920457213,1.6815248678868273,1.8813140181540988,1.861859036561295,1.8847801391512233
ECU,Ecuador,Primary Energy,EJ / yr,0.029410694999999997,0.030797098,0.03328252300000001,0.039600512000000004,0.04196538300000001,0.050329601,0.05533300900000001,0.05791810099999999,0.062282407000000005,0.072753428,0.072825526,0.080786733,0.09720513200000003,0.10020953600000002,0.105157921,0.13360187999999998,0.14951002200000002,0.16401917600000002,0.154694911,0.16287766399999998,0.196384736,0.201795823,0.204919076,0.23985654500000006,0.24750940400000007,0.2564035557955356,0.28621864005429715,0.28528616317300565,0.2910997719314306,0.3149083926585239,0.3049886137161202,0.3437982484104513,0.38676209569138537,0.3892020703940994,0.3462693433099583,0.3212413955632338,0.33041352339320457,0.3228176430169664,0.3346694570757482,0.3603930224037666,0.3883784907277451,0.41221901685601275,0.42371257657587785,0.4420975635401526,0.44361289780332835,0.5033353472339779,0.5220504592788232,0.5492281750853856,0.5771178725697247,0.6075048937085703,0.596088668436444,0.5780332721243215,0.5813214467885689,0.6195090278951745,0.6146834529037855,0.5148954189101247,0.6156862675711646,0.658454121720731,0.6886195874997503,0.6995168316314294
PER,Peru,Primary Energy,EJ / yr,0.1795304620910795,0.2218040713841073,0.22380619113452682,0.2267184971987756,0.22643126862867075,0.2355114289031,0.24261563363636363,0.21322909463636364,0.2434343729090909,0.28221592218181824,0.2985299591818182,0.30298735527272724,0.304140205,0.30228096754545447,0.31198291781818177,0.3352264847272728,0.34796057290909094,0.34787815772727276,0.29890605618181826,0.3140622939090909,0.3030802483636364,0.32677940699999997,0.3575692893636364,0.3483802473636363,0.31452928718181816,0.3114260583636364,0.30109698809090907,0.3037393150909091,0.323444749909091,0.3522463488181818,0.3887286629090909,0.40082577445454554,0.3919737670000001,0.40320014045454544,0.4109533566363637,0.41643200436363637,0.4028883298181818,0.41374265726990817,0.4047166886243109,0.44781309227119515,0.46862168725931175,0.4657499721623803,0.5201532713855416,0.5762465309568706,0.5856539495804264,0.682456360685756,0.7579182470809485,0.7852788234481155,0.8048649817699904,0.8275646399480003,0.8640899798948553,0.9223971572874392,0.9103954275406723,0.95031311852747,0.9754930281845134,0.84186738788052,0.9771070879712004,1.028183535584316,1.0485869717304865,1.1339523266083549
TTO,Trinidad & Tobago,Primary Energy,EJ / yr,0.1210523536325912,0.12879858083384302,0.13729620375040047,0.14153143545491734,0.14595223151528142,0.160850094557028,0.1625561711818182,0.2240584891818182,0.22223545863636363,0.2140584132727273,0.1724796010909091,0.1939335207272727,0.20176741509090906,0.20315117163636365,0.17949212663636366,0.17260575336363637,0.18225968872727272,0.21405852263636366,0.20885299945454547,0.20586486418181818,0.21275809254545455,0.22120973136363636,0.2088314958181818,0.22949871645454548,0.22578194836363638,0.25054175981818183,0.2497853458912273,0.26438972411982375,0.27868679477845454,0.29533714520017096,0.32027983807474003,0.36287459621166657,0.36278015757285964,0.36823718457285964,0.4092701138808976,0.42854022413314596,0.45710299838644075,0.5086070810636822,0.5572030458276617,0.6111779694388281,0.6740018964084215,0.7809685529318143,0.7969213554825074,0.78507897232224,0.7793350270509605,0.8406484064029461,0.8299147693601598,0.8132737012259084,0.8228455892654643,0.8237654887485151,0.7978516866925949,0.7047435305705665,0.7454037043928704,0.6985017644813322,0.7026946767902298,0.609599235821321,0.6232111367862391,0.622967164164782,0.5900857168537473,0.5752648988154888
