region,region_name,variable,unit,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Afghanistan,Emissions|CO2|Fossil,Mt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014656,0.084272,0.09160000000000001,0.09160000000000001,0.106256,0.106256,0.15388800000000002,0.18320000000000003,0.29312,0.32976,0.3845714204724423,0.4138847238016316,0.4907977045669285,0.6885942727559047,0.7067359773228332,0.8385508296062995,1.006916534173228,1.0911588182677177,1.2818651137007855,1.2233908463828904,0.9412319773228333,1.6703968442024748,1.8935535017403566,1.5303468938757594,1.6354536047795414,1.9131523343224808,2.1213828968918014,1.980858599147955,2.38417492418396,2.153299736083932,2.232754217437868,1.756302492391805,1.9784626898377786,2.094580520411832,2.5199537688363884,2.821539726236004,3.501421746432513,3.1336448908378225,3.1138260885623144,2.8568959220592887,2.7648550301002017,2.024326000000002,1.9143011145038167,1.482054000000002,1.4869430000000006,1.4538289095477397,1.4173270000000007,1.3701039999999987,1.3041519999999984,1.2785039999999985,1.0916399999999984,1.0471280000000003,1.0690979999999992,1.3409954932249324,1.559602489559166,1.2372469999999989,1.8895069999999987,2.1593180725126495,2.799909000000001,4.254477365517225,6.391887596330277,8.36480299999999,11.838315999999983,10.035314000000007,9.250509999999998,9.170309367412155,9.791093,9.06759834387674,9.86796900000002,10.818048218978085,11.081621123685855,11.888065868065684,10.954851761849453,11.43550895256149,11.999399785935815
ALB,Albania,Emissions|CO2|Fossil,Mt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007328,0.007328,0.01832,0.1282102840944881,0.2967245681889766,0.34808,0.432352,0.692496,0.6264845681889762,0.7437920000000001,0.461664,0.15388800000000002,0.120912,0.483648,0.926992,0.703488,1.014928,0.2967252929671597,0.4029805681889762,0.37366914519685035,0.4139725681889762,0.5019085681889762,0.6630057045669285,0.8387885568503947,1.5056068409448808,1.2014651250393709,1.443318840944881,2.022230840944881,2.278533308681134,2.4617325455118095,2.0806171137007894,2.014694829606299,2.172158682425302,2.5495785854180024,2.6774925228346462,3.069213647874017,3.2413027842519697,3.739486493101128,4.34802314165046,5.637977297637392,5.286405690987867,4.34151215513594,4.591171638050314,4.947197906175163,5.717342949079447,6.491244729287829,7.583970896152581,5.17083660803242,7.339621909242497,7.30760666806157,7.6308092347802985,7.825902913169946,7.881540476914092,8.058077337759446,7.447080784610609,7.329221907782973,8.98616904820521,5.520602001740345,4.29022550677219,2.5171160628742144,2.3379987153226534,1.9238060704853042,2.089064909430572,2.0175079230588895,1.5430092231752464,1.7547091222958624,2.986195816583385,3.024925933560994,3.220656,3.7482719999999996,4.303499455722461,4.176684408925949,4.261413036675839,3.910714979393797,3.948969604539775,4.3970431082922365,4.406551999999994,4.783864999999999,5.314675999999984,4.850060000000003,5.287240225426798,5.988089162475625,4.676772407046688,4.592141876912313,5.262315230958152,4.881107894919936,4.8224745094244055,5.018729370806388,4.853654319034096,4.955267085865797,4.975771653021796
DZA,Algeria,Emissions|CO2|Fossil,Mt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.003664,0.007328,0.01832,0.01832,0.021984,0.025648,0.025648,0.014656,0.029312,0.032976,0.040304,0.058624,0.07307198866141736,0.08038060872304013,0.08400455685039353,0.09861941175045422,0.11322740913385816,0.12061484094488198,0.1388456932283466,0.13164378504362637,0.05102855685039353,0.0693485568503939,0.032976,0.161216,0.23816,0.31144000000000005,0.4983040000000001,0.4686651250393708,0.4979205129858048,0.6151359773228332,0.7616388204136673,0.7432868296062993,0.8018835450021469,0.9081647843820324,3.7836045001574834,4.131179329763775,3.889206750236225,3.9990059800024667,4.152301568503947,4.606578136692926,4.995053221930019,5.53708555716534,5.214118670866157,5.6570169322834705,6.151240909606292,6.0559200992588496,5.661010093082987,5.41915409133857,5.643044398110238,6.588533024296128,8.420861568503947,8.431587402764062,9.050236103523337,11.26296789440218,15.05895979590551,18.649531216377962,28.322639795905513,38.2774009209449,31.876660364094487,32.00120708698841,39.13107046397887,41.84491314474778,62.455266480990645,45.54555152610286,66.41646744048414,46.341982079467826,39.173029228976,52.503909138596434,70.9465302151656,72.60906842606333,76.08038820377996,83.88350219472665,83.70804108603122,79.80826599979606,76.73762834800914,78.80683392931375,79.88330532226428,81.94396999701944,88.6083896032051,96.77691854519205,100.03943118511799,88.36941355873506,106.53655889490152,91.44910375729091,85.39859711839787,86.83925249333014,90.69238361108,94.58060957440429,91.71422895144613,110.9925161415865,105.8961783306659,109.88944184451334,111.08740849474033,118.8563333516204,118.35326048506816,117.9582194320542,121.40159583292632,125.40819758333919,134.94631343038745,142.9400268351281,142.4248204199228,148.55626687002894,154.90122812932023,161.62046377798393,152.38428312389493,164.58367641549495,170.1220121546356,164.9222095131942
AND,Andorra,Emissions|CO2|Fossil,Mt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406704,0.406704,0.406704,0.410368,0.406704,0.425024,0.454336,0.465328,0.490976,0.5129600000000001,0.523952,0.523952,0.53128,0.534944,0.560592,0.575248,0.545936,0.538608,0.538608,0.516624,0.516624,0.490976,0.487312,0.47632,0.461664,0.465328,0.468992,0.465328,0.4946400000000001,0.483648,0.373728,0.407563112736,0.4226064665351363,0.4289147249467018
AGO,Angola,Emissions|CO2|Fossil,Mt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186864,0.24915200000000004,0.31144000000000005,0.2746811363779527,0.34790356181102383,0.4137348409448809,0.5016114091338572,0.6186811137007893,0.5928845341732278,0.6185919659842517,0.5489505795484181,0.45370689253696794,1.1791266501665008,1.149723386456694,1.2229142387401564,1.1861553751181089,1.552466227401575,0.9918147955905511,1.6695386629707603,2.7830927370410707,3.577917183209827,3.4053827529182907,4.500532201569687,4.8736638299212585,4.866397563039237,4.408811284409456,3.2800423079272853,3.5275109679805534,5.399808095459183,5.48919101357814,5.334351635650012,5.266774016550829,4.635178572501122,5.100534825585483,4.98584694264555,4.676114242037123,4.633839502587287,5.786028763137452,5.0493057337816145,4.922749741949991,5.08986393479014,5.0640544106120515,5.16444854632725,5.748388722647512,11.353248089186772,12.616650461917734,15.248956718753783,15.884249457744797,16.513294027330343,17.26127784667032,15.995107549794179,15.908461411694436,16.080001629394882,17.484427907277478,17.0156870396701,15.386818615969142,17.144839135793113,17.587937449431408,18.750156365313355,20.6683313958509,22.983320763678293,20.348162952443396,19.843223913076482,19.769329123468193,18.214294457951507,18.170922794217017,15.702232809121888,15.479465800278751,16.188421588999752,14.85536696781431,13.25973692817208,15.264457257877206,16.404896270627304,16.549645899698334
AIA,Anguilla,Emissions|CO2|Fossil,Mt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047632,0.047632,0.047632,0.05496,0.05496,0.058624,0.06228800000000001,0.06228800000000001,0.065952,0.065952,0.07694400000000001,0.084272,0.084272,0.087936,0.102592,0.10992,0.120912,0.12457600000000002,0.12457600000000002,0.12457600000000002,0.131904,0.12457600000000002,0.120912,0.117248,0.120912,0.139232,0.139232,0.12824000000000002,0.131904,0.14656,0.142896,0.14469682420172064,0.13938671419430587,0.14480221992790368
ATG,Antigua and Barbuda,Emissions|CO2|Fossil,Mt CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021984,0.029312,0.029312,0.03664,0.047632,0.102592,0.084272,0.09160000000000001,0.15022400000000002,0.34808,0.564256,0.9892800000000002,1.256752,0.461664,0.425024,0.373728,0.32976,0.42868800000000007,0.707152,0.40304,0.465328,0.490976,0.406704,0.142896,0.106256,0.29312,0.084272,0.14656,0.24915200000000004,0.24915200000000004,0.2748,0.285792,0.285792,0.241824,0.24915200000000004,0.24915200000000004,0.25648000000000004,0.267472,0.271136,0.289456,0.31144000000000005,0.322432,0.344416,0.355408,0.37006400000000006,0.406704,0.42868800000000007,0.450672,0.479984,0.516624,0.534944,0.538608,0.556928,0.5496,0.545936,0.556928,0.556928,0.56792,0.582576,0.5972320000000001,0.6045600000000001,0.6155520000000001,0.6412,0.6192160000000001,0.6387459444000001,0.6343772516495105,0.6652480664133321
ARG,Argentina,Emissions|CO2|Fossil,Mt CO2,,,,,,,0.016650681599999998,0.040757236800000006,0.0527681952,0.0338245824,0.0415215472,0.0503649776,0.0414907696,0.0610832768,0.0519525888,0.0891678368,0.141423072,0.10179947680000001,0.1506230096,0.1747552128,0.1604461936,0.17350872,0.16920755040000002,0.1877972208,0.22281700000000002,0.1298763424,0.12701915519999998,0.10047347520000001,0.0808732736,0.1916495504,0.19409636959999998,0.308237664,0.3440961328,0.4814052656,0.6574146656000001,0.761540416,0.7844389504,1.2076694224000002,1.1986490208,1.967535024,1.4525796095999999,1.0835228432000001,1.6849812672,1.6708851264,1.9472038544,2.3397464944,2.2839518352,2.2371955312,2.2266311200000004,2.6425083104000002,2.0257765024000003,2.4077496016000004,2.5548537056000002,2.9226691088,3.7388654128,4.654740104,6.2136281088,5.458138056,5.8946519936,5.4650785854006125,6.925234310663164,8.44468644,8.5674205472,9.34687345439075,8.294103991778192,5.521730209282207,4.215235415623517,2.4113520464000002,1.5692761776000002,3.410035336,5.608899564800001,4.760871528,6.0557724507094735,7.343098501788893,9.863518044800001,10.1565369184,10.323329951958321,12.499040776333258,12.190789617423642,12.606969586935444,12.338451731313404,12.465656962897654,12.897622964825205,13.5240399395538,14.660483313675577,14.43218628569157,15.31679559707718,16.40802134112882,16.175169143186963,16.484650128856703,15.647854629622307,13.94045917102364,13.479180298528554,14.076889937243852,13.951807761889762,13.665986045984253,13.702418034645682,14.514933169938015,17.391620296062996,15.364625966614184,29.921192796220478,34.962916228031496,36.09512194393701,35.13473792125983,36.75035459706287,39.559988159999996,44.29673783055101,47.60777547842517,44.192511455747955,48.948799478425165,48.76449998992145,51.12671021732278,53.640125069606476,50.03266001259829,55.67004127569676,58.80484955842517,63.07266666078743,65.47598161146253,69.0092173656694,77.24886989984252,82.6480012409449,88.84712867792626,90.06664011987641,93.97590683343985,95.48037749388044,94.84547958407553,99.69915507666411,100.70586862377127,102.55559525408526,110.61614449059797,108.65613017411592,101.96854211202425,103.35113701351786,105.14203637161216,106.45170055926417,100.53121579261993,104.15006505193088,114.87722859838625,121.40474231422478,117.02042196487623,112.07908800000008,117.50574399999986,121.23058400000005,117.77748497962239,118.46941753183447,125.23978662991068,131.13484402516093,136.52374382799994,139.00499081600012,147.67355772719077,142.76520843017565,134.42227700800004,124.454616772827,133.9938235519999,156.7124169665522,161.1891720240001,174.209916828,173.48207411599992,187.24345988800013,178.110958912,185.85433597600007,189.11127078011774,190.1624428010092,188.24774043488006,187.009658123187,190.5275455116355,189.08004715178157,185.94001979050807,179.2419055647374,176.74274501414422,164.8950024434682,187.84908419427535,200.10281168058395,191.590195160624
ARM,Armenia,Emissions|CO2|Fossil,Mt CO2,0.00025106145238219476,0.0,0.0,0.0,0.0,0.0007612831136750405,0.0,0.0,0.00106903586175644,0.0011338259139841045,0.0014982699577647085,0.001903207784187605,0.001716936384033071,0.001797923949317652,0.0020165903755860145,0.0019275040537729774,0.006090264909400339,0.0069892268840591465,0.005814907187432753,0.00788818885871799,0.008560385650579986,0.011556925566109419,0.011864678314190791,0.011135790226629584,0.013516824645996232,0.015557711291167607,0.01931553432037207,0.01971237339026652,0.025762144517024556,0.026434341308886555,0.031010138747465266,0.032662285079270666,0.034403517732889105,0.03915748781509389,0.039756795798199684,0.043304051157664517,0.044413580802063035,0.04699708413464107,0.04902177326675568,0.05294157142652909,0.05995509458017362,0.06601296446346042,0.0698760713275348,0.08190272477229461,0.08341719224311614,0.09584878351429929,0.09757381865486064,0.11281567844141832,0.12652687324409748,0.14678186332177082,0.16627557028576884,0.17070559010683534,0.16487448540634575,0.16127863750771057,0.17943604964451287,0.1601691078633117,0.18269174976895314,0.2046312812045454,0.2058865884664564,0.21733823019769613,0.21314307431595483,0.220982670635502,0.25032446553810483,0.2719319479560305,0.24542471783838796,0.2252669128390564,0.24009573604266238,0.220966473122445,0.08812256978615017,0.07526984317548772,0.06863696157868046,0.07443567125305639,0.09077896192748464,0.10027880333536543,0.11947285630781095,0.11791789505434704,0.17085136772434778,0.2124141862283936,0.23319585489505826,0.25118545248560775,0.3430217982678967,0.4124518501088692,0.4640140575865768,0.5193362193143,0.6275605072600023,0.7092723401156206,0.8118983546640766,0.8311433281681401,0.8773416883188235,0.8881445335431328,1.0648791744219992,0.9354855527587937,0.0,0.0,0.7768651212357963,0.8188559452946013,0.9176850804687763,1.1037825931188068,1.1722561468751884,1.3319387298191776,1.482164341752728,1.604598219535921,1.717958148768989,1.8169434328361356,1.9825536964904336,2.2477888590973385,2.467029586794758,2.7005332119124903,2.8841070315874116,3.032252619159534,3.1577274898415384,3.2602157181843996,3.426957066624041,3.6800706494692172,3.9180031246066087,4.158205053829083,4.393052211230597,4.598811657983617,4.7333980697972,4.933612699337894,5.187790372846183,5.515324242460331,5.809927757556491,6.063883681211156,6.304077125292599,6.633979967649844,6.891267242185548,7.128551087417647,7.3783777330683975,7.439252937171824,7.730467437061421,7.596128995592595,7.740726581903381,7.856606996409082,7.930954894989754,8.546217996151885,8.137956435856292,8.16549188269197,9.294404612329876,9.414360559334982,8.999221336087722,7.379802828556401,5.723697774972172,2.510247093500608,2.684702416455586,3.362693952376163,2.5003121913061483,3.252760901408536,3.4190941708291973,3.040203741007284,3.491407,3.5327009999999994,3.076793310679613,3.455559999999999,3.6911969999999865,4.376168999999993,4.401589999999999,5.100209880410876,5.574790000000005,4.3633320000000095,4.252749999999992,4.9688779999999975,5.748252000000017,5.535003999999999,5.604112662260413,5.469323348784345,5.203013353242145,5.540152947816596,5.825785981042651,6.284110232227482,6.7955266730402535,7.5069454886117954,7.2504943108594615,7.6873718739886
ABW,Aruba,Emissions|CO2|Fossil,Mt CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40957928018223133,0.645961530751707,0.3729768382687914,0.43166343507972854,0.8731420501138937,0.722233658314351,0.9340779589977204,0.6379866970387245,0.5588518086560358,0.7193708974943064,0.6185608200455597,0.6455525649202751,0.708942268792711,0.6790877630979509,0.6602753348519375,0.5923870068337115,0.5539442186788174,0.6823594897494311,0.6345104874715248,0.830405120728929,0.9287614031890666,0.8083209658314354,0.7837830159453292,0.8694613576309781,0.7880771571753997,0.5707118177676535,1.2191271435079734,0.6367597995444181,0.5422886924829157,0.5688714715261957,0.5854345876993158,0.557624911161733,0.6234684100227781,0.3204247289293849,0.8001416492027333,0.9365317539863331,0.179536,0.447008,0.6118880000000001,0.648528,0.487312,0.53128,0.538608,0.648528,0.65952,0.707152,0.7254720000000001,0.758448,0.80608,0.809744,2.377936,2.407248,2.43656,2.561136,2.616096,2.718688,2.715024,2.8212800000000002,2.6564,2.627088,2.5061760000000004,2.498848,1.348352,0.86104,0.872032,0.89768,0.883024,0.890352,0.872032,0.890352,0.890352,0.8663863589424001,0.8604607231890657,0.9023334787584725
