,AUS,ARG,BRA,CAN,CHN,EU27,IND,IDN,JPN,MEX,RUS,SAU,KOR,TUR,GBR,USA,ZAF
1991,0.4043,0.12250000000000005,0.17469999999999997,0.7479,0.27680000000000005,0.7874,0.2097,0.21120000000000005,0.2931,0.06240000000000001,0.985,0.0006000000000000449,0.09970000000000001,0.3036,0.261,0.7613,0.21050000000000002
1992,0.21819999999999995,0.20540000000000003,0.36260000000000003,0.1533,0.3164,0.87275,0.20189999999999997,0.1684,0.3348,0.3738,0.99075,0.05579999999999996,0.10260000000000002,0.3194,0.9039,0.09319999999999995,0.9162
1993,0.247,0.7753,0.1795,0.4848,0.2118,0.9039666666666667,0.31699999999999995,0.2672,0.6122000000000001,0.2622,0.9944666666666667,0.13529999999999998,0.0766,0.28600000000000003,0.947,0.09460000000000002,0.7201500000000001
1994,0.20989999999999998,0.692,0.19930000000000003,0.14639999999999997,0.2188,0.90535,0.21630000000000005,0.43579999999999997,0.033399999999999985,0.05289999999999995,0.996225,0.634,0.09230000000000005,0.6163000000000001,0.9657,0.1491,0.14480000000000004
1995,0.05910000000000004,0.07499999999999996,0.10229999999999995,0.1704,0.13990000000000002,0.8827,0.16279999999999994,0.4494,0.27669999999999995,0.9923,0.99662,0.74375,0.07779999999999998,0.13739999999999997,0.973675,0.2037,0.10109999999999997
1996,0.15359999999999996,0.10750000000000004,0.0383,0.12019999999999997,0.2541,0.8234666666666667,0.09240000000000004,0.11399999999999999,0.2774,0.85105,0.99765,0.7818,0.05349999999999999,0.08020000000000005,0.96388,0.011499999999999955,0.45130000000000003
1997,0.11199999999999999,0.1401,0.06669999999999998,0.1502,0.47619999999999996,0.8386,0.23319999999999996,0.14290000000000003,0.6462,0.007600000000000051,0.9981142857142857,0.8362499999999999,0.1048,0.17020000000000002,0.97075,0.16700000000000004,0.11309999999999998
1998,0.035699999999999954,0.27159999999999995,0.1804,0.27580000000000005,0.753,0.8421625,0.34199999999999997,0.9195,0.7914,0.015199999999999991,0.998,0.86738,0.9804,0.5036,0.9748285714285714,0.21189999999999998,0.683
1999,0.08199999999999996,0.031299999999999994,0.18489999999999995,0.14600000000000002,0.20299999999999996,0.8563111111111111,0.04600000000000004,0.025900000000000034,0.6326,0.2873,0.9980666666666667,0.8845000000000001,0.81165,0.6395,0.9776125,0.20379999999999998,0.7034
2000,0.1735,0.8576,0.13270000000000004,0.07289999999999996,0.3375,0.85702,0.28800000000000003,0.6646000000000001,0.15800000000000003,0.2623,0.99817,0.00029999999999996696,0.6288666666666667,0.04720000000000002,0.9793444444444445,0.0014999999999999458,0.674
2001,0.12760000000000005,0.9227,0.3067,0.7297,0.37,0.8452,0.38,0.07579999999999998,0.7514000000000001,0.030000000000000027,0.9984818181818181,0.23170000000000002,0.1743,0.8946000000000001,0.98016,0.9365,0.69695
2002,0.2318,0.9458666666666666,0.4434,0.628,0.06379999999999997,0.8455,0.252,0.6367,0.10650000000000004,0.37160000000000004,0.9986,0.127,0.1281,0.7565,0.9821636363636363,0.8751,0.74258
2003,0.11270000000000002,0.901325,0.6098,0.122,0.005299999999999971,0.8209923076923077,0.21719999999999995,0.11250000000000004,0.34219999999999995,0.0012999999999999678,0.9986923076923077,0.42610000000000003,0.2811,0.1159,0.983825,0.7715,0.01880000000000004
2004,0.06330000000000002,0.0,0.07169999999999999,0.6577,0.0645,0.8130357142857143,0.08489999999999998,0.4335,0.5920000000000001,0.38149999999999995,0.99885,0.0030000000000000027,0.3369,0.2623,0.984323076923077,0.08760000000000001,0.022599999999999953
